id,home_quality,home_sqft,garage_cars,home_age,yr_remod,full_bath,masonry_veneer_area,total_rooms_above_ground,neighborhood,home_type,sale_price
1957,5,2172.0,2.0,58,2006,1,0.0,6,NAmes,1.5 Story Finished,122900
380,8,5590.0,2.0,28,1981,2,0.0,9,NWAmes,Newer 1 Story,278000
2860,8,2709.0,2.0,77,1950,1,0.0,7,Crawfor,Older 2 Story,230000
2517,8,3469.0,2.0,11,1996,1,0.0,6,Veenker,1 Story PUD,270000
1933,6,2306.0,2.0,55,1952,1,0.0,5,NAmes,Newer 1 Story,125000
820,8,4249.0,3.0,2,2008,2,336.0,7,CollgCr,Newer 1 Story,297000
675,6,1686.0,1.0,51,1958,1,82.0,5,NAmes,Newer 1 Story,113500
2910,5,2568.0,1.0,29,1977,2,0.0,6,MeadowV,2 Story PUD,127000
21,6,4234.0,2.0,33,1977,2,480.0,7,NWAmes,Newer 1 Story,190000
1873,7,3012.0,2.0,34,1973,1,320.0,6,NWAmes,Newer 1 Story,175500
2125,5,2364.0,1.0,13,1994,1,0.0,5,CollgCr,Newer 1 Story,146000
1489,5,2788.0,1.0,43,1965,1,0.0,6,Edwards,Newer 1 Story,147500
2383,10,5002.0,3.0,0,2006,2,0.0,7,NridgHt,Newer 1 Story,465000
983,5,2809.0,2.0,31,1978,1,104.0,4,Mitchel,Split Foyer,165500
1325,5,3197.0,1.0,54,1954,2,335.0,7,OldTown,1.5 Story Finished,131500
1378,5,2464.0,1.0,43,1965,1,0.0,5,Sawyer,Newer 1 Story,129500
1537,8,3267.0,2.0,73,1950,1,40.0,9,Crawfor,Older 2 Story,257076
905,5,3248.0,2.0,68,1960,2,0.0,6,Edwards,1.5 Story Finished,117000
1532,7,2548.0,1.0,77,2000,1,0.0,6,Crawfor,Older 2 Story,149000
132,5,2399.0,1.0,56,1954,1,110.0,6,NAmes,Newer 1 Story,128000
1078,7,2864.0,2.0,5,2004,2,106.0,6,NridgHt,2 Story PUD,155000
2511,6,2720.0,2.0,6,2000,2,513.0,4,Somerst,2 Story PUD,166000
912,4,3679.0,2.0,81,1950,2,0.0,7,SWISU,1.5 Story Finished,135000
330,4,1638.0,0.0,40,1970,1,0.0,5,MeadowV,2 Story PUD,76000
2586,6,2191.0,2.0,55,1951,1,522.0,5,NAmes,Newer 1 Story,155000
224,6,2314.0,1.0,41,1969,1,143.0,7,Sawyer,Newer 2 Story,158000
98,7,2280.0,2.0,6,2005,2,0.0,4,Somerst,2 Story PUD,149500
2565,5,2112.0,1.0,52,1975,1,0.0,5,NAmes,Newer 1 Story,121000
1934,6,2373.0,1.0,54,1953,1,0.0,6,NAmes,Newer 1 Story,136000
997,6,2938.0,2.0,12,1996,2,0.0,7,Gilbert,Newer 2 Story,173000
64,8,4093.0,3.0,11,2007,2,348.0,9,NoRidge,Newer 2 Story,290000
230,7,3593.0,2.0,33,2001,1,0.0,4,ClearCr,Newer 1 Story,270000
1295,5,2901.0,1.0,88,1950,1,0.0,6,OldTown,1.5 Story Finished,122250
638,5,3114.0,1.0,54,1955,1,0.0,6,NAmes,Newer 1 Story,153000
2278,5,2240.0,0.0,0,2007,1,0.0,6,Mitchel,Newer 1 Story,147000
2202,7,1845.0,1.0,77,1995,1,0.0,5,Crawfor,Older 2 Story,148500
2833,7,3064.0,2.0,2,2004,2,117.0,7,Edwards,2 Story PUD,130000
1707,9,4447.0,3.0,1,2006,2,510.0,7,NridgHt,Newer 1 Story,372000
2428,7,3308.0,2.0,1,2005,2,145.0,6,Blmngtn,1 Story PUD,213490
242,7,3588.0,2.0,1,2010,1,96.0,5,Edwards,Newer 1 Story,308030
2613,6,2388.0,2.0,47,1959,1,0.0,6,NAmes,Newer 1 Story,159500
2832,7,3059.0,2.0,2,2004,2,50.0,7,Edwards,2 Story PUD,137500
2459,7,4066.0,3.0,1,2005,2,228.0,7,Somerst,Newer 1 Story,232000
1360,6,1976.0,2.0,78,1950,1,0.0,4,IDOTRR,Older 1 Story,93850
2723,5,2066.0,1.0,82,1950,1,65.0,5,Sawyer,Older 1 Story,105000
1350,4,1280.0,1.0,81,1950,1,0.0,4,BrkSide,Older 1 Story,68500
2235,5,2537.0,0.0,82,2003,2,0.0,6,IDOTRR,1.5 Story Finished,129850
1993,5,2328.0,2.0,97,1950,1,0.0,6,OldTown,Older 2 Story,114000
1309,5,3012.0,3.0,93,1950,1,0.0,7,OldTown,1.5 Story Finished,153900
402,4,2304.0,2.0,38,2006,1,0.0,5,NAmes,Newer 1 Story,130000
1592,6,2770.0,2.0,11,1997,2,197.0,4,Mitchel,1 Story PUD,160500
2409,9,3907.0,2.0,0,2006,2,572.0,6,NridgHt,1 Story PUD,310090
539,7,2931.0,2.0,6,2003,2,0.0,5,SawyerW,Newer 1 Story,184900
1940,5,2108.0,1.0,51,2000,1,0.0,4,NAmes,Newer 1 Story,132000
588,5,3126.0,2.0,40,1969,2,128.0,6,NWAmes,Newer 1 Story,163000
96,7,2280.0,2.0,6,2004,2,120.0,4,Somerst,2 Story PUD,155000
1187,6,3370.0,2.0,39,1969,2,0.0,7,NWAmes,Split or Multi-Level,183000
2154,7,3460.0,2.0,11,2002,2,254.0,7,CollgCr,Newer 2 Story,211000
550,7,2789.0,2.0,15,1994,2,0.0,6,SawyerW,Newer 2 Story,184000
811,5,1935.0,2.0,30,1979,2,0.0,8,SawyerW,Duplex,118858
124,5,2788.0,2.0,46,1964,1,86.0,6,NAmes,Split or Multi-Level,180500
1836,8,2776.0,2.0,1,2007,2,30.0,5,Somerst,1 Story PUD,166000
779,6,2756.0,2.0,49,1960,1,54.0,6,Sawyer,Split or Multi-Level,148000
1886,5,2364.0,2.0,51,1956,1,0.0,6,NAmes,Newer 1 Story,124000
1724,9,3678.0,2.0,2,2005,2,246.0,6,NridgHt,1 Story PUD,277500
2450,8,4793.0,3.0,11,1995,2,397.0,9,NoRidge,Newer 2 Story,350000
1013,9,4438.0,3.0,4,2004,2,296.0,7,StoneBr,Newer 1 Story,387000
2084,4,1133.0,0.0,87,2002,1,0.0,5,Edwards,Older 1 Story,86000
728,3,1042.0,0.0,109,1950,1,0.0,5,IDOTRR,Older 1 Story,44000
950,6,3325.0,2.0,8,2002,2,0.0,7,Mitchel,Newer 2 Story,215000
2524,5,2847.0,2.0,34,1972,2,144.0,6,NWAmes,2 Family Conversion,146500
2513,7,2545.0,2.0,6,2000,2,0.0,6,Somerst,2 Story PUD,165000
51,7,2864.0,2.0,7,2003,2,106.0,6,NridgHt,2 Story PUD,175500
699,5,2648.0,2.0,70,1950,1,0.0,7,OldTown,Older 2 Story,150000
1881,5,2686.0,1.0,47,1978,1,0.0,6,NAmes,Newer 1 Story,139900
1345,5,3011.0,2.0,78,1992,2,0.0,8,BrkSide,1.5 Story Finished,162900
166,6,2672.0,2.0,48,1962,1,261.0,5,NAmes,Newer 1 Story,160000
781,2,660.0,0.0,62,1950,1,0.0,5,Sawyer,Newer 1 Story,63900
379,6,3326.0,2.0,31,1998,2,144.0,7,NWAmes,Newer 1 Story,184000
2818,5,3460.0,2.0,47,1959,1,132.0,6,Edwards,Newer 1 Story,149900
1168,9,3747.0,2.0,8,2000,2,260.0,5,Somerst,1 Story PUD,300000
1396,5,3335.0,2.0,48,1960,2,275.0,7,ClearCr,2 Family Conversion,145000
838,6,3162.0,2.0,12,1997,2,0.0,7,CollgCr,Newer 2 Story,231500
1492,5,1992.0,0.0,68,1969,1,0.0,6,Edwards,Older 1 Story,108000
637,5,2708.0,1.0,53,1956,1,0.0,6,NAmes,Newer 1 Story,120000
1826,5,2548.0,2.0,46,1961,1,57.0,5,Sawyer,Newer 1 Story,128500
173,5,2396.0,2.0,83,1950,1,0.0,5,OldTown,Older 1 Story,115000
715,5,2244.0,1.0,62,1950,1,0.0,5,OldTown,1.5 Story Finished,110000
2433,8,2524.0,2.0,2,2004,2,0.0,6,Gilbert,Newer 2 Story,178000
2866,7,2825.0,3.0,74,1990,1,0.0,8,Crawfor,Older 2 Story,199500
2311,6,2738.0,2.0,9,1998,2,0.0,6,Gilbert,Newer 2 Story,183500
1551,5,2568.0,1.0,41,1967,1,0.0,7,IDOTRR,Split or Multi-Level,126000
1049,7,2550.0,2.0,31,1977,2,0.0,4,NPkVill,1 Story PUD,148500
657,5,2748.0,2.0,70,2006,2,0.0,7,OldTown,Newer 2 Story,149000
414,6,2751.0,2.0,32,1977,2,0.0,6,NPkVill,2 Story PUD,137900
1181,8,3911.0,2.0,15,1993,1,0.0,6,Veenker,1 Story PUD,324000
1514,5,1728.0,0.0,83,1950,1,0.0,5,Edwards,Older 1 Story,98000
1040,6,1734.0,1.0,35,1973,1,359.0,5,BrDale,2 Story PUD,103400
216,5,1800.0,0.0,135,1996,1,0.0,6,Sawyer,1.5 Story Finished,94000
1720,8,3735.0,2.0,1,2006,2,108.0,6,NridgHt,1 Story PUD,209500
204,6,2340.0,0.0,98,2009,1,0.0,7,OldTown,Older 2 Story,159900
19,4,2128.0,2.0,59,1951,1,0.0,4,Gilbert,Newer 1 Story,141000
2438,6,3302.0,2.0,6,2000,2,0.0,9,Gilbert,Newer 2 Story,215000
89,5,2340.0,1.0,48,2010,1,0.0,6,Sawyer,Newer 1 Story,127000
240,5,2710.0,1.0,56,1998,1,0.0,5,Edwards,Newer 1 Story,128000
105,8,3912.0,3.0,0,2010,1,0.0,6,Somerst,Newer 1 Story,267916
2020,6,2811.0,1.0,76,1950,1,0.0,6,BrkSide,1.5 Story Finished,127500
1019,6,3420.0,2.0,27,1981,2,210.0,7,NWAmes,Newer 1 Story,175500
2132,7,3313.0,2.0,7,2000,2,144.0,7,CollgCr,Newer 2 Story,217500
203,4,3422.0,2.0,95,1950,1,0.0,9,OldTown,1.5 Story Finished,149500
420,5,2640.0,2.0,43,2004,1,165.0,5,NAmes,Newer 1 Story,148800
632,6,3398.0,2.0,52,1957,1,0.0,6,NAmes,Newer 1 Story,156500
2800,7,3535.0,2.0,11,1996,2,0.0,8,CollgCr,Newer 2 Story,237000
1885,5,2121.0,1.0,49,1985,1,0.0,5,NAmes,Newer 1 Story,120000
1734,6,3040.0,2.0,2,2005,2,0.0,6,Gilbert,Newer 1 Story,203000
2327,8,2856.0,2.0,19,1987,2,0.0,5,StoneBr,1 Story PUD,130000
1282,6,2833.0,2.0,44,1964,1,360.0,7,NAmes,Newer 2 Story,167900
2688,4,2496.0,2.0,36,1970,1,160.0,6,BrkSide,2 Family Conversion,129000
2581,5,2753.0,1.0,49,1996,1,64.0,6,NAmes,Newer 1 Story,134450
2067,5,2808.0,2.0,89,2007,2,0.0,7,Sawyer,Older 1 Story,112000
2115,7,3421.0,2.0,19,1988,2,360.0,7,SawyerW,Newer 2 Story,207000
1079,7,2864.0,2.0,5,2004,2,106.0,6,NridgHt,2 Story PUD,154000
2615,5,1940.0,1.0,49,1957,1,0.0,5,NAmes,Newer 1 Story,129900
329,5,1984.0,1.0,34,1976,1,0.0,4,MeadowV,2 Story PUD,85000
1320,7,1971.0,1.0,82,1950,1,0.0,5,OldTown,1.5 Story Finished,116900
416,6,2736.0,2.0,31,1978,2,0.0,7,NPkVill,2 Story PUD,148500
284,4,1876.0,1.0,69,1950,1,0.0,5,Edwards,2 Family Conversion,80000
1385,5,2692.0,2.0,24,1984,1,0.0,5,Sawyer,Split Foyer,152000
275,5,1692.0,1.0,56,1954,1,0.0,6,Edwards,Newer 1 Story,155891
2024,6,2720.0,2.0,87,1950,1,0.0,7,BrkSide,1.5 Story Finished,165000
68,7,3112.0,2.0,1,2010,2,0.0,4,Somerst,Newer 1 Story,204500
1910,5,2684.0,1.0,65,1995,1,224.0,7,NAmes,Older 2 Story,146500
381,7,3350.0,2.0,31,1978,2,206.0,7,NWAmes,Newer 1 Story,157000
2432,6,2685.0,2.0,4,2003,2,0.0,7,Gilbert,Newer 2 Story,183200
777,5,2472.0,1.0,47,1962,1,116.0,6,Sawyer,Newer 1 Story,139000
1107,7,4712.0,3.0,15,1994,2,651.0,9,NoRidge,Newer 2 Story,341000
30,6,1734.0,1.0,39,1971,1,504.0,5,BrDale,2 Story PUD,96000
282,4,2682.0,2.0,7,2004,2,0.0,5,Edwards,Newer 1 Story,140000
188,6,3071.0,2.0,53,1996,1,0.0,6,OldTown,Newer 1 Story,149700
2356,5,2625.0,2.0,31,1975,1,0.0,6,NWAmes,Newer 1 Story,153500
1464,7,3195.0,2.0,5,2003,2,252.0,8,CollgCr,Newer 2 Story,224900
2469,7,2976.0,2.0,1,2005,2,0.0,6,Somerst,Newer 1 Story,176000
1834,8,5096.0,2.0,15,2000,2,337.0,9,NoRidge,1.5 Story Finished,285000
1779,8,3703.0,3.0,0,2007,2,84.0,6,Somerst,Newer 1 Story,282922
2569,7,3568.0,2.0,40,1966,2,309.0,8,NAmes,Newer 2 Story,226000
988,6,3848.0,2.0,32,1977,2,0.0,5,Mitchel,Newer 1 Story,196000
382,7,2939.0,2.0,33,1976,2,189.0,6,NWAmes,Newer 1 Story,152000
2760,8,3914.0,3.0,1,2006,2,198.0,6,CollgCr,Newer 1 Story,294900
543,7,3688.0,3.0,1,2009,2,140.0,6,SawyerW,Newer 1 Story,224243
2835,6,2698.0,2.0,91,1950,2,0.0,7,Edwards,1.5 Story Finished,92000
1735,7,2584.0,2.0,0,2007,2,0.0,8,Gilbert,Newer 2 Story,179540
1767,7,4051.0,3.0,9,1998,2,275.0,8,NoRidge,Newer 2 Story,252000
1740,7,2584.0,2.0,0,2007,2,16.0,7,Gilbert,Newer 2 Story,177594
199,5,2192.0,2.0,74,1980,1,0.0,5,BrkSide,1.5 Story Finished,123900
323,5,2860.0,2.0,45,1977,1,0.0,7,Mitchel,Newer 1 Story,169000
2421,7,3351.0,2.0,3,2004,2,18.0,7,Blmngtn,1 Story PUD,234000
952,6,2785.0,2.0,32,1977,1,0.0,5,Mitchel,Split Foyer,173000
24,6,2488.0,2.0,40,1970,1,180.0,5,NAmes,Newer 1 Story,149000
1139,7,2807.0,2.0,1,2007,2,0.0,6,SawyerW,Newer 1 Story,170000
518,7,3401.0,2.0,1,2009,2,0.0,6,Somerst,Newer 1 Story,225000
1390,5,2220.0,1.0,45,2003,1,0.0,6,Sawyer,Newer 1 Story,144900
277,5,2728.0,1.0,42,1968,1,0.0,6,Edwards,Newer 1 Story,144000
54,8,2955.0,2.0,6,2005,2,16.0,6,Blmngtn,1 Story PUD,192000
649,5,2292.0,1.0,57,2005,1,0.0,5,NAmes,Newer 1 Story,145500
2600,4,1448.0,1.0,106,1998,1,0.0,5,OldTown,1.5 Story Finished,86900
617,6,3515.0,2.0,56,1953,1,90.0,6,NAmes,Newer 1 Story,149500
2209,5,2114.0,1.0,69,1950,1,0.0,5,Crawfor,Older 1 Story,119750
2814,6,2814.0,2.0,1,2006,2,0.0,6,CollgCr,Newer 2 Story,173900
2542,5,2468.0,1.0,45,1961,1,0.0,6,NAmes,Newer 1 Story,136500
1393,6,3418.0,2.0,48,1975,1,0.0,4,ClearCr,Newer 1 Story,235000
490,7,2214.0,2.0,10,2000,2,0.0,7,Gilbert,Split or Multi-Level,156000
542,5,2804.0,2.0,6,2004,2,0.0,6,SawyerW,Newer 1 Story,153000
973,6,2850.0,2.0,10,1999,2,425.0,5,Mitchel,1 Story PUD,165000
2218,5,2611.0,2.0,66,1950,2,0.0,5,Crawfor,2 Family Conversion,140000
1583,6,3570.0,2.0,20,1989,2,219.0,5,Timber,Split or Multi-Level,175000
2858,7,3115.0,3.0,91,1970,1,0.0,7,Crawfor,Older 2 Story,140000
2265,7,3033.0,2.0,22,1985,2,0.0,6,Timber,Newer 1 Story,174000
1088,7,2422.0,2.0,3,2005,2,182.0,5,Gilbert,Split or Multi-Level,190000
698,5,1968.0,0.0,99,2002,2,0.0,7,OldTown,Older 2 Story,129000
1896,6,3754.0,2.0,48,1991,1,136.0,6,NAmes,Newer 1 Story,200000
628,6,3547.0,1.0,41,1968,2,576.0,8,NAmes,Newer 2 Story,193500
1212,6,2688.0,2.0,44,1964,1,260.0,6,NAmes,Newer 1 Story,145000
2864,7,3144.0,2.0,77,1950,2,270.0,7,Crawfor,1.5 Story Finished,218000
2740,5,2057.0,2.0,54,2002,1,232.0,7,Edwards,Newer 1 Story,135000
2560,5,3308.0,1.0,54,1952,1,150.0,6,NAmes,Newer 1 Story,146500
1716,6,3184.0,2.0,2,2006,2,256.0,6,NridgHt,1 Story PUD,194700
1130,7,2898.0,2.0,1,2008,2,210.0,6,Somerst,Newer 1 Story,230348
201,6,2480.0,1.0,87,1950,1,0.0,5,OldTown,Older 1 Story,109500
2886,6,3826.0,2.0,27,1979,2,0.0,6,Mitchel,Newer 1 Story,242500
2583,6,2386.0,1.0,52,2000,1,176.0,6,NAmes,Newer 1 Story,156000
1206,4,2166.0,1.0,51,1957,1,0.0,5,NAmes,Newer 1 Story,109008
2242,2,1101.0,1.0,68,1950,1,0.0,4,IDOTRR,1.5 Story Finished,68104
1105,8,4494.0,3.0,13,1995,2,466.0,9,NoRidge,Newer 2 Story,290000
121,5,2922.0,2.0,44,1966,1,0.0,6,NAmes,Newer 1 Story,159000
1223,4,1485.0,1.0,71,1950,1,0.0,5,BrkSide,Older 2 Story,87000
265,8,3852.0,2.0,9,2002,2,479.0,6,CollgCr,Newer 1 Story,272000
2813,7,3174.0,2.0,1,2006,2,0.0,6,CollgCr,Newer 1 Story,198000
1294,4,2897.0,2.0,68,1985,2,0.0,8,OldTown,1.5 Story Finished,119164
2745,5,1124.0,0.0,52,1954,1,0.0,5,Edwards,Newer 1 Story,93000
1094,7,3305.0,2.0,8,2001,2,647.0,8,Gilbert,Newer 2 Story,226750
651,3,3097.0,2.0,109,1970,2,0.0,7,OldTown,2 Family Conversion,95000
198,6,2508.0,1.0,62,1950,1,0.0,6,BrkSide,1.5 Story Finished,139900
131,3,2034.0,0.0,70,1966,1,0.0,6,BrkSide,Older 1 Story,76500
1258,4,1652.0,1.0,68,2005,1,0.0,4,OldTown,Older 1 Story,86900
1599,5,2530.0,1.0,40,1968,1,0.0,6,Mitchel,Newer 1 Story,152500
1508,4,2127.0,1.0,55,1953,1,115.0,5,Edwards,Newer 1 Story,99000
615,4,1128.0,0.0,69,1950,1,0.0,5,BrkSide,Older 1 Story,82500
1815,6,3679.0,2.0,15,1992,2,0.0,5,SawyerW,1 Story PUD,179200
2712,5,2404.0,1.0,40,1966,1,0.0,6,Sawyer,Newer 1 Story,142500
2051,4,2450.0,2.0,43,1964,1,0.0,5,Sawyer,Newer 1 Story,115400
1863,7,3636.0,2.0,6,2001,2,0.0,7,Somerst,Newer 2 Story,226000
2510,7,2280.0,2.0,1,2005,2,0.0,4,Somerst,2 Story PUD,144152
1069,8,5250.0,3.0,5,2003,2,221.0,9,NridgHt,Newer 2 Story,370000
336,5,2161.0,2.0,26,1984,1,0.0,5,Mitchel,Newer 1 Story,149900
2417,6,2613.0,2.0,0,2006,2,0.0,8,Gilbert,Newer 2 Story,172785
1962,5,2448.0,2.0,57,2002,1,0.0,5,NAmes,Newer 1 Story,129000
372,6,3383.0,2.0,30,1998,2,0.0,7,NWAmes,Newer 1 Story,181000
2578,5,2728.0,1.0,50,1956,1,272.0,6,NAmes,Split or Multi-Level,148000
2824,6,1828.0,0.0,4,2002,1,0.0,4,Edwards,Newer 1 Story,117250
471,7,3358.0,2.0,4,2006,2,16.0,7,Blmngtn,1 Story PUD,192500
1544,6,2724.0,2.0,28,1980,2,0.0,6,Blueste,2 Story PUD,151000
2141,5,2225.0,2.0,35,1972,1,0.0,5,CollgCr,Newer 1 Story,112500
2008,5,2577.0,2.0,87,1950,1,0.0,6,BrkSide,Older 1 Story,144000
34,6,2751.0,2.0,35,1975,2,0.0,6,NPkVill,2 Story PUD,149900
847,7,2984.0,2.0,7,2002,2,95.0,7,CollgCr,Newer 2 Story,195000
1629,7,2258.0,2.0,15,1992,2,170.0,7,Gilbert,Split or Multi-Level,163900
2073,6,3264.0,2.0,23,1984,2,136.0,7,ClearCr,Newer 1 Story,182000
960,9,5006.0,3.0,1,2008,2,246.0,9,Timber,Newer 1 Story,410000
955,5,3849.0,2.0,18,1991,2,0.0,5,Mitchel,Newer 1 Story,152000
2476,7,3039.0,2.0,1,2005,2,172.0,8,SawyerW,Newer 2 Story,184000
2913,5,4232.0,3.0,36,1970,2,0.0,8,Mitchel,Duplex,146500
149,4,2432.0,1.0,54,1956,1,0.0,5,NAmes,1.5 Story Finished,108000
412,7,2552.0,2.0,34,1975,2,0.0,4,NPkVill,1 Story PUD,123000
1399,6,3013.0,2.0,12,1997,1,0.0,6,ClearCr,1 Story PUD,173000
183,6,1828.0,2.0,82,2003,1,0.0,5,OldTown,Older 1 Story,105900
930,5,2885.0,1.0,60,2005,2,0.0,7,Crawfor,1.5 Story Finished,158000
881,7,3164.0,2.0,5,2004,2,0.0,7,CollgCr,Newer 2 Story,190000
1180,8,2946.0,2.0,13,1995,1,0.0,4,Veenker,1 Story PUD,217500
1553,5,3462.0,1.0,50,1958,2,162.0,7,IDOTRR,1.5 Story Finished,165500
928,7,2502.0,1.0,68,1950,1,0.0,7,Crawfor,Older 2 Story,174500
1512,4,1932.0,1.0,54,1954,1,0.0,6,Edwards,Split or Multi-Level,100000
3,6,2970.0,1.0,52,1958,1,108.0,6,NAmes,Newer 1 Story,172000
2140,5,2183.0,2.0,32,1975,1,0.0,5,CollgCr,Newer 1 Story,120000
553,4,1856.0,1.0,59,1950,1,0.0,4,SawyerW,Newer 1 Story,82000
2594,6,2745.0,2.0,59,1950,1,0.0,6,NAmes,1.5 Story Finished,127000
366,8,3145.0,2.0,25,1984,1,0.0,4,StoneBr,1 Story PUD,187500
1462,8,4279.0,3.0,6,2003,2,240.0,6,CollgCr,Newer 1 Story,300000
2541,6,3313.0,2.0,35,1971,2,252.0,8,NWAmes,Newer 2 Story,190000
2088,4,2593.0,1.0,87,1950,2,0.0,7,Edwards,1.5 Story Finished,96000
527,7,3080.0,2.0,3,2007,2,100.0,7,Somerst,Newer 2 Story,241000
1824,5,3185.0,1.0,45,1962,1,0.0,8,Sawyer,Newer 1 Story,143900
2918,4,1924.0,1.0,36,1970,1,0.0,5,MeadowV,2 Story PUD,87550
49,9,4080.0,2.0,5,2005,2,412.0,6,NridgHt,1 Story PUD,319900
826,9,4302.0,2.0,2,2007,2,0.0,7,CollgCr,Newer 1 Story,239000
1108,7,4060.0,3.0,15,1994,2,320.0,9,NoRidge,Newer 2 Story,287500
2041,5,2762.0,2.0,66,1950,1,0.0,7,OldTown,1.5 Story Finished,128500
57,7,3013.0,2.0,6,2004,2,0.0,7,Gilbert,Newer 2 Story,185088
520,7,3429.0,2.0,1,2008,2,0.0,7,Somerst,Newer 1 Story,229800
2305,5,2039.0,1.0,23,1984,1,0.0,5,Mitchel,Newer 1 Story,124500
2533,5,2606.0,2.0,38,1968,1,0.0,6,NAmes,Newer 1 Story,142000
2852,6,2481.0,1.0,86,1950,1,0.0,6,SWISU,Older 2 Story,149000
1198,5,3818.0,2.0,35,1973,2,564.0,8,NWAmes,Duplex,135000
1681,6,2476.0,2.0,31,1976,2,0.0,5,NPkVill,1 Story PUD,128000
1825,5,2766.0,2.0,39,1968,1,0.0,5,Sawyer,Newer 1 Story,145000
2208,5,2463.0,2.0,97,2003,2,0.0,8,Crawfor,1.5 Story Finished,139000
493,7,3442.0,2.0,10,1999,2,298.0,8,Gilbert,Newer 2 Story,214000
694,6,2441.0,1.0,74,1998,1,0.0,6,OldTown,1.5 Story Finished,128900
1800,8,3715.0,3.0,0,2007,2,0.0,8,Somerst,Newer 2 Story,310013
1632,8,2623.0,2.0,21,1986,1,0.0,5,StoneBr,1 Story PUD,170000
2624,5,2366.0,1.0,47,1959,1,0.0,6,NAmes,Newer 1 Story,133700
2197,6,2284.0,1.0,84,1996,1,0.0,7,Crawfor,Older 2 Story,165000
1045,6,1734.0,1.0,37,1971,1,604.0,5,BrDale,2 Story PUD,89500
2549,6,1947.0,1.0,48,1958,1,105.0,6,NAmes,2 Family Conversion,140000
2829,7,3059.0,2.0,2,2004,2,50.0,7,Edwards,2 Story PUD,134000
2480,6,3029.0,2.0,14,1993,2,0.0,7,SawyerW,Newer 2 Story,248500
2352,6,2699.0,2.0,31,1975,2,0.0,6,NWAmes,Newer 2 Story,179900
1783,8,4485.0,3.0,1,2007,2,428.0,7,Somerst,Newer 1 Story,147000
338,5,2474.0,2.0,19,1991,1,0.0,6,Mitchel,Newer 2 Story,136000
196,6,2344.0,2.0,70,1950,1,0.0,6,BrkSide,1.5 Story Finished,128000
762,4,1484.0,1.0,63,2001,1,0.0,4,Sawyer,Newer 1 Story,88750
151,5,2249.0,1.0,55,1955,1,0.0,5,NAmes,Newer 1 Story,122500
158,6,2700.0,1.0,62,1950,1,0.0,6,NAmes,1.5 Story Finished,97500
2572,6,2446.0,2.0,43,1963,1,332.0,5,NAmes,Newer 1 Story,135000
1686,9,4424.0,3.0,0,2007,2,452.0,9,NridgHt,Newer 1 Story,314813
943,3,2539.0,0.0,94,1982,1,0.0,6,IDOTRR,1.5 Story Finished,85000
735,6,2498.0,2.0,72,2000,1,0.0,4,BrkSide,1.5 Story Finished,134900
